"city","Latitude","Longitude","confirmedcases_09-02-2020","deaths_09-02-2020","confirmedcases_05-02-2020","deaths_05-02-2020","confirmedcases_06-02-2020","deaths_06-02-2020","confirmedcases_07-02-2020","deaths_07-02-2020","confirmedcases_08-02-2020","deaths_08-02-2020"
" Wuhan, Hubei",30.592849,114.305539,13603,545,6384,313,8351,362,10117,414,10117,415
" Beijing municipality (capital)",39.9041999,116.4073963,297,1,228,1,228,1,253,1,274,1
" Shanghai municipality",31.230416,121.473701,281,1,219,1,233,1,254,1,269,1
" Huanggang, Hubei",30.453667,114.872199,2041,36,1422,19,1645,25,1807,29,1807,29
" Wanzhou district, Chongqing",30.807667,108.408661,78,1,60,1,65,1,68,1,73,1
" Jingmen, Hubei",31.035395,112.199427,588,18,400,14,422,16,508,17,508,17
" Jingzhou, Hubei",30.335237,112.239631,941,11,613,7,713,9,801,10,801,10
" Cangzhou, Hebei",38.304477,116.838834,23,1,20,1,20,1,21,1,21,1
" Ezhou, Hubei",30.39194,114.894843,569,20,332,18,382,18,423,18,423,18
" Xiantao, Hubei",30.360882,113.423482,359,5,188,3,225,4,265,5,265,5
" Qianjiang, Hubei",30.402167,112.899762,80,2,44,1,54,1,64,1,64,1
" Huangshi, Hubei",30.20003,115.038835,703,2,405,2,509,2,566,2,566,2
" Yichang, Hubei",30.691966,111.286471,633,8,452,3,496,4,563,6,563,6
" Xiaogan, Hubei",30.917766,113.957037,2313,26,1120,17,1462,18,1886,25,1886,25
" Suihua, Heilongjiang",46.653845,126.968887,39,2,22,2,24,2,39,2,39,2
" Tianmen, Hubei",30.653061,113.165862,179,10,117,10,128,10,138,10,138,10
" Suizhou, Hubei",31.690215,113.382458,953,9,641,6,706,8,834,9,834,9
" Nanyang, Henan",32.990664,112.528308,118,1,98,1,106,1,110,1,110,1
" Xiangyang, Hubei ",32.009016,112.122426,907,5,632,1,735,2,787,2,787,2
" Chengmai County, Hainan",19.738521,110.006755,6,1,3,1,4,1,4,1,7,1
" Manila, NCR",14.5995124,120.9842195,2,1,2,1,2,1,2,1,2,1
" Hong Kong",22.3193039,114.1693611,26,0,18,0,18,0,21,0,24,0
" Tianjin municipality",39.3433574,117.3616476,81,0,67,0,69,0,69,0,79,0
" Xianning, Hubei",29.841438,114.322439,476,2,348,0,384,0,399,1,399,1
" Liupanshui, Guizhou",26.592666,104.830359,9,0,9,0,9,0,9,0,9,0
" Daqing, Heilongjiang",46.589309,125.103784,13,1,11,0,11,0,13,1,13,1
" Sanya, Hainan",18.252847,109.511909,32,1,18,0,22,0,30,0,32,1
" Siping, Jilin",43.166419,124.350398,10,1,7,0,8,0,9,0,9,0
" Zhaoqing, Guangdong",23.047191,112.465091,15,1,10,0,11,0,11,0,14,0
" Bangkok - Nonthaburi, Bangkok Metropolitan Region",13.8150158,100.5045102,13,0,13,0,13,0,13,0,13,0
" Shenzhen, Guangdong",22.543096,114.057865,339,0,271,0,289,0,289,0,316,0
" Zhuhai, Guangdong",22.270978,113.576677,76,0,64,0,69,0,69,0,73,0
" Zhanjiang, Guangdong",21.270702,110.359368,20,0,18,0,18,0,18,0,19,0
" Huizhou, Guangdong",23.112257,114.415801,39,0,29,0,31,0,31,0,35,0
" Incheon, SCA",37.4562557,126.7052062,1,0,1,0,1,0,1,0,1,0
" Guiyang, Guizhou",26.647661,106.630153,18,0,10,0,12,0,15,0,15,0
" Wenzhou, Zhejiang",27.993828,120.699361,421,0,340,0,364,0,364,0,396,0
" Hangzhou, Zhejiang",30.274084,120.15507,156,0,132,0,141,0,141,0,151,0
" Zhoushan, Zhejiang",29.985295,122.207215,7,0,7,0,7,0,7,0,7,0
" Taizhou, Zhejiang",28.65638,121.42076,129,0,115,0,124,0,124,0,126,0
" Wushan County, Chongqing",31.074834,109.879153,8,0,7,0,8,0,8,0,8,0
" Changshou district, Chongqing",29.857996,107.081282,12,0,12,0,12,0,12,0,12,0
" Rizhao, Shandong",35.416734,119.526925,15,0,14,0,14,0,14,0,14,0
" Everett, Washington",47.9789848,-122.2020795,1,0,1,0,1,0,1,0,1,0
" Zhoukou, Henan",33.626149,114.69695,60,0,52,0,56,0,59,0,59,0
" Changsha, Hunan",28.228209,112.938814,190,0,148,0,164,0,179,0,179,0
" Chengdu, Sichuan",30.572815,104.066801,102,0,87,0,92,0,97,0,97,0
" Kunming, Yunnan",24.880095,102.832891,41,0,32,0,34,0,37,0,40,0
" Guang'an, Sichuan",30.456224,106.633088,27,0,24,0,24,0,24,0,24,0
" Macau (SAR)",22.198745,113.543873,10,0,10,0,10,0,10,0,10,0
" Guangzhou, Guangdong",23.12911,113.264385,285,0,224,0,237,0,237,0,270,0
" Foshan, Guangdong",23.021478,113.121435,59,0,49,0,49,0,49,0,57,0
" Shaoguan, Guangdong",24.810879,113.59762,6,0,6,0,6,0,6,0,6,0
" Ningbo, Zhejiang",29.868336,121.54399,146,0,102,0,130,0,130,0,136,0
" Nakhon Pathom, Nakhon Pathom Province",13.8199206,100.0621676,1,0,1,0,1,0,1,0,1,0
" Dalian, Liaoning",38.914003,121.614682,14,0,13,0,13,0,14,0,14,0
" Hefei, Anhui",31.820591,117.227219,115,0,81,0,93,0,104,0,104,0
" Haikou, Hainan",20.044412,110.198286,21,0,14,0,16,0,16,0,21,0
" Lingao County, Hainan",19.912025,109.690508,5,0,4,0,5,0,5,0,5,0
" Huaihua, Hunan",27.569517,110.001922,38,0,35,0,35,0,36,0,36,0
" Dianjiang County, Chongqing",30.327716,107.33339,18,0,13,0,15,0,16,0,17,0
" Mianyang, Sichuan",31.46746,104.679004,19,0,17,0,17,0,18,0,18,0
" Taiyuan, Shanxi",37.87059,112.548879,12,0,6,0,9,0,9,0,11,0
" Yinchuan, Ningxia",38.487193,106.230908,27,0,20,0,20,0,20,0,27,0
" Beihai, Guangxi",21.481291,109.120161,31,0,27,0,29,0,31,0,31,0
" Luoyang, Henan",34.620202,112.453926,24,0,12,0,17,0,21,0,21,0
" Sanmenxia, Henan",34.772792,111.200367,7,0,7,0,7,0,7,0,7,0
" Gongyi (Zhengzhou), Henan",34.747834,113.022496,2,0,2,0,2,0,2,0,2,0
