"city","Latitude","Longitude","confirmedcases_14-02-2020","deaths_14-02-2020","confirmedcases_05-02-2020","deaths_05-02-2020","confirmedcases_06-02-2020","deaths_06-02-2020","confirmedcases_07-02-2020","deaths_07-02-2020","confirmedcases_08-02-2020","deaths_08-02-2020","confirmedcases_09-02-2020","deaths_09-02-2020","confirmedcases_10-02-2020","deaths_10-02-2020","confirmedcases_11-02-2020","deaths_11-02-2020","confirmedcases_12-02-2020","deaths_12-02-2020","confirmedcases_13-02-2020","deaths_13-02-2020"
" Wuhan, Hubei",30.592849,114.305539,32994,1036,6384,313,8351,362,10117,414,10117,415,13603,545,13603,545,16902,681,18454,748,32994,1036
" Beijing municipality (capital)",39.9041999,116.4073963,366,2,228,1,228,1,253,1,274,1,297,1,297,1,337,2,337,2,337,2
" Shanghai municipality",31.230416,121.473701,315,1,219,1,233,1,254,1,269,1,281,1,281,1,295,1,295,1,295,1
" Huanggang, Hubei",30.453667,114.872199,2662,58,1422,19,1645,25,1807,29,1807,29,2041,36,2041,36,2252,45,2332,52,2662,58
" Wanzhou district, Chongqing",30.807667,108.408661,103,1,60,1,65,1,68,1,73,1,78,1,78,1,97,1,97,1,97,1
" Jingmen, Hubei",31.035395,112.199427,927,24,400,14,422,16,508,17,508,17,588,18,588,18,641,20,656,21,927,24
" Jingzhou, Hubei",30.335237,112.239631,1431,23,613,7,713,9,801,10,801,10,941,11,941,11,1045,15,1075,17,1431,23
" Cangzhou, Hebei",38.304477,116.838834,42,2,20,1,20,1,21,1,21,1,23,1,23,1,28,1,28,1,28,1
" Ezhou, Hubei",30.39194,114.894843,1065,30,332,18,382,18,423,18,423,18,569,20,569,20,725,24,790,26,1065,30
" Xiantao, Hubei",30.360882,113.423482,480,16,188,3,225,4,265,5,265,5,359,5,359,5,416,7,438,11,480,16
" Qianjiang, Hubei",30.402167,112.899762,94,5,44,1,54,1,64,1,64,1,80,2,80,2,85,2,90,3,94,5
" Huangshi, Hubei",30.20003,115.038835,911,9,405,2,509,2,566,2,566,2,703,2,703,2,805,3,835,5,911,9
" Yichang, Hubei",30.691966,111.286471,810,11,452,3,496,4,563,6,563,6,633,8,633,8,749,8,772,8,810,11
" Xiaogan, Hubei",30.917766,113.957037,2874,49,1120,17,1462,18,1886,25,1886,25,2313,26,2313,26,2541,33,2642,41,2874,49
" Suihua, Heilongjiang",46.653845,126.968887,45,4,22,2,24,2,39,2,39,2,39,2,39,2,37,3,37,3,37,3
" Tianmen, Hubei",30.653061,113.165862,362,10,117,10,128,10,138,10,138,10,179,10,179,10,217,10,261,10,362,10
" Suizhou, Hubei",31.690215,113.382458,1160,14,641,6,706,8,834,9,834,9,953,9,953,9,1049,10,1095,12,1160,14
" Nanyang, Henan",32.990664,112.528308,145,2,98,1,106,1,110,1,110,1,118,1,118,1,134,2,134,2,134,2
" Xiangyang, Hubei ",32.009016,112.122426,1101,13,632,1,735,2,787,2,787,2,907,5,907,5,1019,9,1063,12,1101,13
" Chengmai County, Hainan",19.738521,110.006755,8,1,3,1,4,1,4,1,7,1,6,1,6,1,7,1,7,1,7,1
" Manila, NCR",14.5995124,120.9842195,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
" Hong Kong",22.3193039,114.1693611,53,1,18,0,18,0,21,0,24,0,26,0,26,0,42,1,49,1,50,1
" Tianjin municipality",39.3433574,117.3616476,117,3,67,0,69,0,69,0,79,0,81,0,81,0,94,1,94,1,94,1
" Xianning, Hubei",29.841438,114.322439,534,7,348,0,384,0,399,1,399,1,476,2,476,2,507,4,515,5,534,7
" Liupanshui, Guizhou",26.592666,104.830359,10,1,9,0,9,0,9,0,9,0,9,0,9,0,10,1,10,1,10,1
" Daqing, Heilongjiang",46.589309,125.103784,15,1,11,0,11,0,13,1,13,1,13,1,13,1,13,1,13,1,13,1
" Sanya, Hainan",18.252847,109.511909,54,1,18,0,22,0,30,0,32,1,32,1,32,1,41,1,41,1,41,1
" Siping, Jilin",43.166419,124.350398,13,1,7,0,8,0,9,0,9,0,10,1,10,1,12,1,12,1,12,1
" Zhaoqing, Guangdong",23.047191,112.465091,16,1,10,0,11,0,11,0,14,0,15,1,15,1,14,1,14,1,14,1
" Lanzhou, Gansu",36.061089,103.834303,35,2,30,0,30,0,30,0,32,0,32,0,32,0,33,2,33,2,33,2
